Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-05-30,31.4,31.81,31.39,31.68,17108324.0,0.0,1.0,29.507790125526014,29.893082926528106,29.49839274013572,29.770916916454272,17108324.0
2017-05-26,31.51,31.59,31.36,31.5,16403052.0,0.0,1.0,29.61116136481926,29.686340447941618,29.470200583964832,29.601763979428963,16403052.0
2017-05-25,31.55,31.69,31.37,31.44,21586482.0,0.0,1.0,29.64875090638044,29.780314301844566,29.47959796935513,29.545379667087197,21586482.0
2017-05-24,31.93,31.94,31.22,31.49,23517633.0,0.0,1.0,30.005851551211645,30.01524893660194,29.338637188500705,29.592366594038666,23517633.0
2017-05-23,31.83,31.87,31.52,31.76,29827507.0,0.0,1.0,29.911877697308693,29.949467238869875,29.620558750209554,29.846095999576633,29827507.0
2017-05-22,31.15,31.98,31.15,31.59,35085249.0,0.0,1.0,29.27285549076864,30.052838478163117,29.27285549076864,29.686340447941618,35085249.0
2017-05-19,31.74,31.78,31.015,31.21,39859249.0,0.0,1.0,29.82730122879604,29.86489077035722,29.14599078799966,29.32923980311041,39859249.0
2017-05-18,31.1,31.51,30.37,31.38,85500515.0,0.0,1.0,29.22586856381717,29.61116136481926,28.539859430325638,29.488995354745423,85500515.0
2017-05-17,34.2,34.31,33.8,33.82,38787770.0,0.0,1.0,32.13905803480859,32.24242927410184,31.76316261919679,31.781957389977382,38787770.0
2017-05-16,34.24,34.33,34.035,34.3,18950047.0,0.0,1.0,32.17664757636977,32.26122404488242,31.98400117586872,32.23303188871154,18950047.0
2017-05-15,34.0,34.46,33.9723,34.23,31531001.0,0.0,1.0,31.95111032700269,32.38339005495626,31.92507956947157,32.16725019097947,31531001.0
2017-05-12,33.6,33.62,33.14,33.45,20194336.0,0.0,1.0,31.575214911390894,31.59400968217148,31.142935183437327,31.434254130536473,20194336.0
2017-05-11,33.72,33.82,33.48,33.63,17515568.0,0.0,1.0,31.68798353607443,31.781957389977382,31.46244628670735,31.603407067561783,17515568.0
2017-05-10,33.9,33.9,33.58,33.74,17481356.0,0.0,1.0,31.85713647309974,31.85713647309974,31.556420140610303,31.706778306855025,17481356.0
2017-05-09,34.14,34.255,33.84,33.9,18855861.0,0.0,1.0,32.08267372246682,32.19074365445521,31.800752160757973,31.85713647309974,18855861.0
2017-05-08,34.46,34.6,34.15,34.29,13232657.0,0.0,1.0,32.38339005495626,32.514953450420386,32.092071107857116,32.22363450332124,13232657.0
2017-05-05,34.25,34.4,34.07,34.39,15091765.0,0.0,1.0,32.18604496176006,32.32700574261449,32.01689202473475,32.317608357224195,15091765.0
2017-05-04,34.33,34.49,34.07,34.18,13638588.0,0.0,1.0,32.26122404488242,32.41158221112714,32.01689202473475,32.120263264028,13638588.0
2017-05-03,34.16,34.335,34.12,34.25,14432179.0,0.0,1.0,32.1014684932474,32.26592273757757,32.06387895168623,32.18604496176006,14432179.0
2017-05-02,34.06,34.24,33.93,34.24,15983571.0,0.0,1.0,32.007494639344465,32.17664757636977,31.885328629270624,32.17664757636977,15983571.0
2017-05-01,34.11,34.14,33.81,33.97,13577289.0,0.0,1.0,32.054481566295934,32.08267372246682,31.77256000458709,31.922918170831803,13577289.0
2017-04-28,33.88,34.075,33.67,34.07,20461746.0,0.0,1.0,31.838341702319156,32.0215907174299,31.64099660912296,32.01689202473475,20461746.0
2017-04-27,34.01,34.11,33.62,33.75,26639030.0,0.0,1.0,31.96050771239298,32.054481566295934,31.59400968217148,31.71617569224532,26639030.0
2017-04-26,33.58,33.63,33.37,33.4,17949699.0,0.0,1.0,31.556420140610303,31.603407067561783,31.35907504741411,31.387267203584994,17949699.0
2017-04-25,33.39,33.52,33.35,33.42,15058776.0,0.0,1.0,31.3778698181947,31.500035828268537,31.34028027663352,31.40606197436559,15058776.0
2017-04-24,33.24,33.36,33.13,33.28,15379635.0,0.0,1.0,31.23690903734028,31.349677662023815,31.133537798047037,31.274498578901458,15379635.0
2017-04-21,32.94,32.94,32.67,32.82,13877681.0,0.0,1.0,30.954987475631427,30.954987475631427,30.70125807009347,30.84221885094789,13877681.0
2017-04-20,32.79,32.95,32.72,32.83,11927466.0,0.0,1.0,30.814026694777006,30.964384861021728,30.748244997044942,30.851616236338185,11927466.0
2017-04-19,32.8,32.89,32.61,32.65,16373804.0,0.0,1.0,30.8234240801673,30.908000548679954,30.644873757751697,30.682463299312875,16373804.0
2017-04-18,32.56,32.73,32.45,32.67,13349601.0,0.0,1.0,30.597886830800224,30.757642382435233,30.494515591506982,30.70125807009347,13349601.0
2017-04-17,32.48,32.67,32.45,32.61,11961203.0,0.0,1.0,30.52270774767786,30.70125807009347,30.494515591506982,30.644873757751697,11961203.0
2017-04-13,32.71,32.85,32.42,32.42,16234866.0,0.0,1.0,30.73884761165465,30.870411007118776,30.466323435336097,30.466323435336097,16234866.0
2017-04-12,32.86,32.96,32.5,32.62,25455074.0,0.0,1.0,30.87980839250907,30.97378224641202,30.541502518458454,30.65427114314199,25455074.0
